asset,published_at_utc,published_at_local,date_local,history_file,entry_ts_utc,entry_close,n_candles_snapshot,ret_6h_pct,ret_12h_pct,ret_24h_pct,ret_48h_pct,range_24h_pct,range_48h_pct,atr14_pct,dist_from_24h_high_pct,dist_from_24h_low_pct,dist_from_48h_high_pct,dist_from_48h_low_pct,close_vs_sma_24_pct,close_vs_sma_48_pct,is_up_24h,is_up_48h
ETH-USDT,2025-12-16T05:47:04+00:00,2025-12-16T07:47:04+02:00,2025-12-16,data/history/2025-12-16/2025-12-16T05-47-04Z.json,1765861200,2923.34,96,-1.4034,-0.4814,-6.3053,-6.0557,10.2855,10.2855,1.1527,-8.7291,1.5564,-8.7291,1.5564,-3.1403,-4.4007,0,0
ETH-USDT,2025-12-16T05:47:41+00:00,2025-12-16T07:47:41+02:00,2025-12-16,data/history/2025-12-16/2025-12-16T05-47-41Z.json,1765861200,2925.26,96,-1.3386,-0.416,-6.2438,-5.994,10.2787,10.2787,1.1519,-8.6577,1.6211,-8.6577,1.6211,-3.0793,-4.3391,0,0
ETH-USDT,2025-12-16T06:59:35+00:00,2025-12-16T08:59:35+02:00,2025-12-16,data/history/2025-12-16/2025-12-16T06-59-35Z.json,1765864800,2945.69,96,0.1196,0.2634,-6.1024,-5.3028,10.2075,10.2075,1.1305,-7.9041,2.3034,-7.9041,2.3034,-2.1406,-3.5611,0,0
ETH-USDT,2025-12-16T07:41:22+00:00,2025-12-16T09:41:22+02:00,2025-12-16,data/history/2025-12-16/2025-12-16T07-41-22Z.json,1765868400,2920.01,96,-0.9145,-0.6877,-6.6827,-6.2705,10.2972,10.2972,1.1322,-8.8531,1.4442,-8.8531,1.4442,-2.712,-4.2743,0,0
ETH-USDT,2025-12-16T07:49:26+00:00,2025-12-16T09:49:26+02:00,2025-12-16,data/history/2025-12-16/2025-12-16T07-49-26Z.json,1765868400,2924.33,96,-0.7679,-0.5408,-6.5447,-6.1319,10.282,10.282,1.1305,-8.6922,1.5898,-8.6922,1.5898,-2.5739,-4.1355,0,0
ETH-USDT,2025-12-16T08:57:44+00:00,2025-12-16T10:57:44+02:00,2025-12-16,data/history/2025-12-16/2025-12-16T08-57-44Z.json,1765872000,2927.15,96,-0.627,-0.0536,-6.7813,-5.9021,10.2721,10.2721,1.0977,-8.5875,1.6846,-8.5875,1.6846,-2.1908,-3.9225,0,0
ETH-USDT,2025-12-16T09:49:58+00:00,2025-12-16T11:49:58+02:00,2025-12-16,data/history/2025-12-16/2025-12-16T09-49-58Z.json,1765875600,2929.16,96,-0.2642,-0.5709,-7.1264,-5.7987,10.2651,10.2651,1.0482,-8.513,1.752,-8.513,1.752,-1.8222,-3.7407,0,0
ETH-USDT,2025-12-16T10:51:49+00:00,2025-12-16T12:51:49+02:00,2025-12-16,data/history/2025-12-16/2025-12-16T10-51-49Z.json,1765879200,2944.18,96,0.8837,-0.2666,-6.8206,-5.2612,9.6733,10.2127,1.0718,-7.4201,2.2533,-7.9594,2.2533,-1.0176,-3.1371,0,0
ETH-USDT,2025-12-16T11:34:05+00:00,2025-12-16T13:34:05+02:00,2025-12-16,data/history/2025-12-16/2025-12-16T11-34-05Z.json,1765882800,2957.15,96,1.1714,-0.2631,-6.3265,-4.1212,9.5085,10.1679,1.0496,-6.8265,2.682,-7.4859,2.682,-0.3075,-2.6279,0,0
ETH-USDT,2025-12-16T13:51:11+00:00,2025-12-16T15:51:11+02:00,2025-12-16,data/history/2025-12-16/2025-12-16T13-51-11Z.json,1765890000,2937.12,96,0.4391,-0.3339,-6.2357,-5.3006,9.1614,10.2372,1.1026,-7.1431,2.0183,-8.2189,2.0183,-0.4251,-3.081,0,0
ETH-USDT,2025-12-16T14:53:46+00:00,2025-12-16T16:53:46+02:00,2025-12-16,data/history/2025-12-16/2025-12-16T14-53-46Z.json,1765893600,2941.16,96,0.3333,-0.1514,-3.5322,-4.6907,6.2088,10.2232,1.2268,-4.0559,2.1529,-8.0703,2.1529,-0.0986,-2.8332,0,0
ETH-USDT,2025-12-16T15:42:53+00:00,2025-12-16T17:42:53+02:00,2025-12-16,data/history/2025-12-16/2025-12-16T15-42-53Z.json,1765897200,2933.47,96,0.2276,-0.1175,-2.5704,-4.898,4.7684,10.25,1.2262,-2.872,1.8964,-8.3536,1.8964,-0.251,-2.9866,0,0
ETH-USDT,2025-12-16T16:58:50+00:00,2025-12-16T18:58:50+02:00,2025-12-16,data/history/2025-12-16/2025-12-16T16-58-50Z.json,1765900800,2940.47,96,-0.2449,0.7566,-1.6289,-5.0769,3.9307,10.2256,1.2922,-1.8007,2.1299,-8.0956,2.1299,0.0134,-2.6699,0,0
ETH-USDT,2025-12-16T17:48:52+00:00,2025-12-16T19:48:52+02:00,2025-12-16,data/history/2025-12-16/2025-12-16T17-48-52Z.json,1765904400,2927.4,96,-1.0278,0.1536,-0.3432,-5.0944,3.5851,10.2712,1.2836,-1.8921,1.693,-8.5783,1.693,-0.4141,-2.996,0,0
ETH-USDT,2025-12-16T18:57:37+00:00,2025-12-16T20:57:37+02:00,2025-12-16,data/history/2025-12-16/2025-12-16T18-57-37Z.json,1765908000,2953.94,96,0.0691,0.2818,0.5443,-4.7608,3.5529,10.1789,1.3294,-0.9767,2.5762,-7.6027,2.5762,0.4776,-2.0112,1,0
ETH-USDT,2025-12-16T19:32:29+00:00,2025-12-16T21:32:29+02:00,2025-12-16,data/history/2025-12-16/2025-12-16T19-32-29Z.json,1765911600,2931.82,96,0.7336,0.2578,-0.286,-5.2366,3.5797,10.2557,1.3209,-1.7385,1.8412,-8.4146,1.8412,-0.2605,-2.6348,0,0
ETH-USDT,2025-12-16T20:43:34+00:00,2025-12-16T22:43:34+02:00,2025-12-16,data/history/2025-12-16/2025-12-16T20-43-34Z.json,1765915200,2960.99,96,0.6626,1.0098,1.1018,-3.9531,3.5444,10.1547,1.2751,-0.7362,2.8082,-7.3465,2.8082,0.6656,-1.5927,1,0
ETH-USDT,2025-12-16T21:36:42+00:00,2025-12-16T23:36:42+02:00,2025-12-16,data/history/2025-12-16/2025-12-16T21-36-42Z.json,1765918800,2952.33,96,-0.3789,0.8719,0.2155,-4.2033,3.5548,10.1845,1.2294,-1.0317,2.5231,-7.6614,2.5231,0.3809,-1.7835,1,0
ETH-USDT,2025-12-16T22:39:17+00:00,2025-12-17T00:39:17+02:00,2025-12-17,data/history/2025-12-17/2025-12-16T22-39-17Z.json,1765922400,2956.14,96,0.6024,0.2867,0.1385,-3.8419,3.5502,10.1714,1.1809,-0.9015,2.6487,-7.5226,2.6487,0.5059,-1.5755,1,0
ETH-USDT,2025-12-16T23:33:40+00:00,2025-12-17T01:33:40+02:00,2025-12-17,data/history/2025-12-17/2025-12-16T23-33-40Z.json,1765926000,2953.45,96,1.1708,-0.1471,-0.3879,-3.5948,3.5535,10.1806,1.1256,-0.9934,2.5601,-7.6206,2.5601,0.4336,-1.5886,0,0
ETH-USDT,2025-12-17T02:59:38+00:00,2025-12-17T04:59:38+02:00,2025-12-17,data/history/2025-12-17/2025-12-17T02-59-38Z.json,1765936800,2959.63,96,0.4006,0.6164,0.4756,-5.1556,3.5461,10.1594,1.0736,-0.7825,2.7635,-7.3959,2.7635,0.5905,-1.0865,1,0
ETH-USDT,2025-12-17T03:44:51+00:00,2025-12-17T05:44:51+02:00,2025-12-17,data/history/2025-12-17/2025-12-17T03-44-51Z.json,1765940400,2948.86,96,-0.0867,-0.496,0.4065,-5.1359,3.559,10.1965,1.0404,-1.1506,2.4084,-7.7881,2.4084,0.2078,-1.3366,1,0
ETH-USDT,2025-12-17T04:56:29+00:00,2025-12-17T06:56:29+02:00,2025-12-17,data/history/2025-12-17/2025-12-17T04-56-29Z.json,1765944000,2933.79,96,-0.6902,-0.1582,0.5277,-6.0806,3.2784,10.2489,1.0363,-1.6702,1.6082,-8.3418,1.9071,-0.3245,-1.7099,1,0
ETH-USDT,2025-12-17T05:44:54+00:00,2025-12-17T07:44:54+02:00,2025-12-17,data/history/2025-12-17/2025-12-17T05-44-54Z.json,1765947600,2926.91,96,-1.1933,0.2617,0.1368,-6.1909,3.2861,10.2729,1.0211,-1.9092,1.3769,-8.5964,1.6765,-0.5618,-1.807,1,0
ETH-USDT,2025-12-17T06:58:49+00:00,2025-12-17T08:58:49+02:00,2025-12-17,data/history/2025-12-17/2025-12-17T06-58-49Z.json,1765951200,2936.49,96,-0.4408,-0.5325,-0.3106,-6.3957,3.2753,10.2394,0.9802,-1.5767,1.6986,-8.2422,1.9973,-0.2287,-1.3499,0,0
ETH-USDT,2025-12-17T07:40:16+00:00,2025-12-17T09:40:16+02:00,2025-12-17,data/history/2025-12-17/2025-12-17T07-40-16Z.json,1765954800,2949.99,96,-0.1425,0.1365,0.8792,-5.7246,3.2604,10.1926,0.959,-1.1119,2.1485,-7.7468,2.4458,0.1935,-0.772,1,0
ETH-USDT,2025-12-17T08:58:16+00:00,2025-12-17T10:58:16+02:00,2025-12-17,data/history/2025-12-17/2025-12-17T08-58-16Z.json,1765958400,2924.38,96,-1.185,-0.7952,-0.2391,-6.8695,3.2889,10.2818,0.9597,-1.9973,1.2916,-8.6904,1.5914,-0.6639,-1.4832,0,0
ETH-USDT,2025-12-17T09:50:17+00:00,2025-12-17T11:50:17+02:00,2025-12-17,data/history/2025-12-17/2025-12-17T09-50-17Z.json,1765962000,2927.15,96,-0.6975,-0.8223,0.0116,-7.1901,3.2858,10.2721,0.9269,-1.9008,1.385,-8.5875,1.6846,-0.5725,-1.2338,1,0
