target_pct,horizon_h,n_total,n_hit,p_hit,t_hit_p25,t_hit_median,t_hit_p75,mdd_p25,mdd_median,mdd_p75
0.5,12,3232,2287,0.707611,1.0,2.0,5.0,-0.7268,-0.2933,-0.0486
0.5,24,3232,2599,0.804146,1.0,3.0,7.0,-0.9063,-0.3594,-0.07805
0.5,36,3232,2744,0.84901,1.0,3.0,8.0,-1.001225,-0.4027,-0.091475
0.5,48,3232,2808,0.868812,1.0,3.0,9.0,-1.098375,-0.41765,-0.0978
0.5,60,3232,2840,0.878713,1.0,3.0,9.0,-1.14765,-0.42605,-0.102075
0.5,72,3232,2884,0.892327,1.0,3.0,10.0,-1.196975,-0.43885,-0.104775
0.5,84,3232,2930,0.906559,1.0,3.0,10.0,-1.2718,-0.45175,-0.10875
0.5,96,3232,2961,0.916151,1.0,3.0,11.0,-1.3313,-0.4665,-0.1117
1.0,12,3232,1669,0.516399,2.0,4.0,7.0,-0.9328,-0.3594,-0.0767
1.0,24,3232,2106,0.651609,2.0,5.0,11.0,-1.10865,-0.46715,-0.124225
1.0,36,3232,2355,0.728651,3.0,6.0,15.0,-1.3255,-0.5342,-0.15495
1.0,48,3232,2474,0.76547,3.0,7.0,17.0,-1.391375,-0.55305,-0.1688
1.0,60,3232,2559,0.79177,3.0,7.0,18.0,-1.48385,-0.5911,-0.1765
1.0,72,3232,2632,0.814356,3.0,8.0,20.0,-1.58315,-0.61675,-0.186825
1.0,84,3232,2693,0.83323,3.0,8.0,21.0,-1.6829,-0.6502,-0.1952
1.0,96,3232,2736,0.846535,3.0,8.0,23.0,-1.752325,-0.6765,-0.2023
2.0,12,3232,790,0.244431,3.0,5.0,9.0,-0.9571,-0.39215,-0.07725
2.0,24,3232,1295,0.400681,4.0,9.0,16.0,-1.2488,-0.5683,-0.1722
2.0,36,3232,1643,0.508354,5.0,13.0,23.0,-1.45035,-0.6773,-0.20805
2.0,48,3232,1879,0.581374,6.0,16.0,28.0,-1.5681,-0.7624,-0.25775
2.0,60,3232,2028,0.627475,7.0,17.0,32.0,-1.644175,-0.8165,-0.28005
2.0,72,3232,2159,0.668007,7.0,18.0,36.0,-1.79945,-0.9049,-0.308
2.0,84,3232,2247,0.695235,8.0,20.0,39.0,-1.9389,-0.9599,-0.3284
2.0,96,3232,2332,0.721535,8.0,21.0,41.0,-2.06415,-1.0025,-0.3454
3.0,12,3232,420,0.12995,3.0,6.0,9.0,-0.923025,-0.35455,-0.08175
3.0,24,3232,751,0.232364,5.0,11.0,17.0,-1.3197,-0.5535,-0.15595
3.0,36,3232,1058,0.327351,7.0,16.0,26.0,-1.581475,-0.6927,-0.207325
3.0,48,3232,1315,0.406869,9.0,21.0,33.0,-1.70615,-0.8267,-0.2733
3.0,60,3232,1511,0.467512,11.0,25.0,40.0,-1.75745,-0.8961,-0.3032
3.0,72,3232,1673,0.517636,12.0,28.0,45.0,-1.9059,-0.9755,-0.3412
3.0,84,3232,1783,0.551671,13.0,30.0,50.0,-2.0159,-1.0159,-0.3732
3.0,96,3232,1869,0.57828,14.0,31.0,53.0,-2.1005,-1.086,-0.404
5.0,12,3232,164,0.050743,5.0,7.0,10.0,-0.840925,-0.27515,-0.059325
5.0,24,3232,338,0.104579,7.25,13.0,18.0,-1.18285,-0.5046,-0.107025
5.0,36,3232,480,0.148515,10.0,18.0,27.0,-1.605525,-0.67545,-0.158325
5.0,48,3232,644,0.199257,12.0,23.0,37.0,-1.9205,-0.89435,-0.2463
5.0,60,3232,794,0.245668,15.0,29.0,45.0,-2.05235,-1.0102,-0.28465
5.0,72,3232,930,0.287748,17.0,35.0,53.0,-2.1806,-1.1281,-0.32335
5.0,84,3232,1095,0.3388,20.0,42.0,63.0,-2.3665,-1.1968,-0.37715
5.0,96,3232,1204,0.372525,22.0,46.0,70.0,-2.377625,-1.2317,-0.415075
