published_at_utc,published_at_local,date_local,eth_usdt_close,eth_usdt_gap_pct,atr_1h,atr_trend,intraday_momentum,early_breakout,last_candle_open_time_local,last_candle_open_time_utc,history_file
2025-12-16T05:47:04+00:00,2025-12-16T07:47:04+02:00,2025-12-16,2923.34,10.45,33.6962,falling,down,True,2025-12-16T07:00:00+02:00,2025-12-16T05:00:00+00:00,data/history/2025-12-16/2025-12-16T05-47-04Z.json
2025-12-16T05:47:41+00:00,2025-12-16T07:47:41+02:00,2025-12-16,2925.26,10.45,33.6962,falling,down,True,2025-12-16T07:00:00+02:00,2025-12-16T05:00:00+00:00,data/history/2025-12-16/2025-12-16T05-47-41Z.json
2025-12-16T06:59:35+00:00,2025-12-16T08:59:35+02:00,2025-12-16,2945.69,10.45,33.3018,falling,down,True,2025-12-16T08:00:00+02:00,2025-12-16T06:00:00+00:00,data/history/2025-12-16/2025-12-16T06-59-35Z.json
2025-12-16T07:41:22+00:00,2025-12-16T09:41:22+02:00,2025-12-16,2920.01,10.45,33.0606,falling,down,True,2025-12-16T09:00:00+02:00,2025-12-16T07:00:00+00:00,data/history/2025-12-16/2025-12-16T07-41-22Z.json
2025-12-16T07:49:26+00:00,2025-12-16T09:49:26+02:00,2025-12-16,2924.33,10.45,33.0606,falling,down,True,2025-12-16T09:00:00+02:00,2025-12-16T07:00:00+00:00,data/history/2025-12-16/2025-12-16T07-49-26Z.json
2025-12-16T08:57:44+00:00,2025-12-16T10:57:44+02:00,2025-12-16,2927.15,10.45,32.1326,falling,down,True,2025-12-16T10:00:00+02:00,2025-12-16T08:00:00+00:00,data/history/2025-12-16/2025-12-16T08-57-44Z.json
2025-12-16T09:49:58+00:00,2025-12-16T11:49:58+02:00,2025-12-16,2929.16,10.45,30.7047,falling,down,True,2025-12-16T11:00:00+02:00,2025-12-16T09:00:00+00:00,data/history/2025-12-16/2025-12-16T09-49-58Z.json
2025-12-16T10:51:49+00:00,2025-12-16T12:51:49+02:00,2025-12-16,2944.18,9.9,31.5554,falling,down,False,2025-12-16T12:00:00+02:00,2025-12-16T10:00:00+00:00,data/history/2025-12-16/2025-12-16T10-51-49Z.json
2025-12-16T11:34:05+00:00,2025-12-16T13:34:05+02:00,2025-12-16,2957.15,9.77,31.0386,falling,down,True,2025-12-16T13:00:00+02:00,2025-12-16T11:00:00+00:00,data/history/2025-12-16/2025-12-16T11-34-05Z.json
2025-12-16T13:51:11+00:00,2025-12-16T15:51:11+02:00,2025-12-16,2937.12,9.35,32.3854,falling,down,True,2025-12-16T15:00:00+02:00,2025-12-16T13:00:00+00:00,data/history/2025-12-16/2025-12-16T13-51-11Z.json
2025-12-16T14:53:46+00:00,2025-12-16T16:53:46+02:00,2025-12-16,2941.16,6.35,36.0827,rising,down,True,2025-12-16T16:00:00+02:00,2025-12-16T14:00:00+00:00,data/history/2025-12-16/2025-12-16T14-53-46Z.json
2025-12-16T15:42:53+00:00,2025-12-16T17:42:53+02:00,2025-12-16,2933.47,4.86,35.97,rising,down,True,2025-12-16T17:00:00+02:00,2025-12-16T15:00:00+00:00,data/history/2025-12-16/2025-12-16T15-42-53Z.json
2025-12-16T16:58:50+00:00,2025-12-16T18:58:50+02:00,2025-12-16,2940.47,4.02,37.9961,rising,down,True,2025-12-16T18:00:00+02:00,2025-12-16T16:00:00+00:00,data/history/2025-12-16/2025-12-16T16-58-50Z.json
2025-12-16T17:48:52+00:00,2025-12-16T19:48:52+02:00,2025-12-16,2927.4,3.65,37.5771,rising,sideways,True,2025-12-16T19:00:00+02:00,2025-12-16T17:00:00+00:00,data/history/2025-12-16/2025-12-16T17-48-52Z.json
2025-12-16T18:57:37+00:00,2025-12-16T20:57:37+02:00,2025-12-16,2953.94,3.65,39.269,rising,up,False,2025-12-16T20:00:00+02:00,2025-12-16T18:00:00+00:00,data/history/2025-12-16/2025-12-16T18-57-37Z.json
2025-12-16T19:32:29+00:00,2025-12-16T21:32:29+02:00,2025-12-16,2931.82,3.65,38.7259,rising,sideways,False,2025-12-16T21:00:00+02:00,2025-12-16T19:00:00+00:00,data/history/2025-12-16/2025-12-16T19-32-29Z.json
2025-12-16T20:43:34+00:00,2025-12-16T22:43:34+02:00,2025-12-16,2960.99,3.65,37.7566,rising,up,False,2025-12-16T22:00:00+02:00,2025-12-16T20:00:00+00:00,data/history/2025-12-16/2025-12-16T20-43-34Z.json
2025-12-16T21:36:42+00:00,2025-12-16T23:36:42+02:00,2025-12-16,2952.33,3.65,36.2953,rising,sideways,False,2025-12-16T23:00:00+02:00,2025-12-16T21:00:00+00:00,data/history/2025-12-16/2025-12-16T21-36-42Z.json
2025-12-16T22:39:17+00:00,2025-12-17T00:39:17+02:00,2025-12-17,2956.14,3.65,34.9078,rising,sideways,False,2025-12-17T00:00:00+02:00,2025-12-16T22:00:00+00:00,data/history/2025-12-17/2025-12-16T22-39-17Z.json
2025-12-16T23:33:40+00:00,2025-12-17T01:33:40+02:00,2025-12-17,2953.45,3.65,33.2442,falling,down,False,2025-12-17T01:00:00+02:00,2025-12-16T23:00:00+00:00,data/history/2025-12-17/2025-12-16T23-33-40Z.json
