asset,published_at_utc,published_at_local,date_local,history_file,entry_ts_utc,entry_close,max_up_pct_24,max_down_pct_24,close_change_pct_24,range_pct_24,max_up_pct_48,max_down_pct_48,close_change_pct_48,range_pct_48,max_up_pct_168,max_down_pct_168,close_change_pct_168,range_pct_168,max_up_pct_336,max_down_pct_336,close_change_pct_336,range_pct_336,t_hit_up_0p5,t_hit_down_0p5,mdd_before_hit_up_0p5,t_hit_up_1,t_hit_down_1,mdd_before_hit_up_1,t_hit_up_2,t_hit_down_2,mdd_before_hit_up_2,t_hit_up_3,t_hit_down_3,mdd_before_hit_up_3,t_hit_up_5,t_hit_down_5,mdd_before_hit_up_5
ETH-USDT,2025-12-16T05:47:04+00:00,2025-12-16T07:47:04+02:00,2025-12-16,data/history/2025-12-16/2025-12-16T05-47-04Z.json,1765861200,2923.34,2.0336,-1.2564,0.1221,3.2901,3.6729,-4.5274,-3.2952,8.2002,5.2519,-4.9033,2.0706,10.1552,5.2519,-4.9033,0.5049,10.1552,1,9,-0.0147,5,9,-0.1724,8,35,-0.1724,34,35,-1.2711,151,,-4.9033
ETH-USDT,2025-12-16T05:47:41+00:00,2025-12-16T07:47:41+02:00,2025-12-16,data/history/2025-12-16/2025-12-16T05-47-41Z.json,1765861200,2925.26,1.9667,-1.3213,0.0564,3.2879,3.6048,-4.59,-3.3587,8.1948,5.1828,-4.9657,2.0036,10.1485,5.1828,-4.9657,0.4389,10.1485,1,9,-0.0803,5,9,-0.2379,34,35,-1.3359,34,35,-1.3359,151,,-4.9657
ETH-USDT,2025-12-16T06:59:35+00:00,2025-12-16T08:59:35+02:00,2025-12-16,data/history/2025-12-16/2025-12-16T06-59-35Z.json,1765864800,2945.69,1.2595,-2.0056,-0.3123,3.2651,2.8863,-5.2517,-3.8847,8.138,4.4533,-5.6248,0.4827,10.0781,4.4533,-5.6248,0.1239,10.0781,4,1,-0.9298,7,8,-0.9298,33,8,-2.0202,138,34,-5.6248,,37,
ETH-USDT,2025-12-16T07:41:22+00:00,2025-12-16T09:41:22+02:00,2025-12-16,data/history/2025-12-16/2025-12-16T07-41-22Z.json,1765868400,2920.01,2.15,-1.1438,1.0267,3.2938,3.7911,-4.4185,-2.9034,8.2096,5.3719,-4.7948,1.5178,10.1667,5.3719,-4.7948,0.9366,10.1667,1,7,0.0,3,7,0.0,6,33,-0.0161,32,35,-1.1586,149,,-4.7948
ETH-USDT,2025-12-16T07:49:26+00:00,2025-12-16T09:49:26+02:00,2025-12-16,data/history/2025-12-16/2025-12-16T07-49-26Z.json,1765868400,2924.33,1.9991,-1.2899,0.8775,3.289,3.6378,-4.5597,-3.0469,8.1974,5.2162,-4.9355,1.3678,10.1517,5.2162,-4.9355,0.7875,10.1517,1,7,-0.1402,3,7,-0.1402,32,33,-1.3046,32,33,-1.3046,149,,-4.9355
ETH-USDT,2025-12-16T08:57:44+00:00,2025-12-16T10:57:44+02:00,2025-12-16,data/history/2025-12-16/2025-12-16T08-57-44Z.json,1765872000,2927.15,1.9008,-1.385,-0.0946,3.2858,3.5379,-4.6516,-2.922,8.1895,5.1149,-5.0271,1.1697,10.1419,5.1149,-5.0271,1.9531,10.1419,2,6,-0.191,2,6,-0.191,31,32,-1.3997,31,32,-1.3997,148,60,-5.0271
ETH-USDT,2025-12-16T09:49:58+00:00,2025-12-16T11:49:58+02:00,2025-12-16,data/history/2025-12-16/2025-12-16T09-49-58Z.json,1765875600,2929.16,1.8309,-1.4526,-0.0686,3.2835,3.4669,-4.7171,-2.5308,8.1839,5.0427,-5.0922,1.1764,10.135,5.0427,-5.0922,1.6841,10.135,1,5,-0.2595,1,5,-0.2595,30,31,-1.4673,30,31,-1.4673,147,59,-5.0922
ETH-USDT,2025-12-16T10:51:49+00:00,2025-12-16T12:51:49+02:00,2025-12-16,data/history/2025-12-16/2025-12-16T10-51-49Z.json,1765879200,2944.18,1.3114,-1.9554,-0.7771,3.2668,2.939,-5.2031,-2.9139,8.1422,4.5069,-5.5764,0.8729,10.0833,4.5069,-5.5764,1.2163,10.0833,1,3,-0.1977,3,4,-0.8369,29,30,-1.97,134,30,-5.5764,,33,
ETH-USDT,2025-12-16T11:34:05+00:00,2025-12-16T13:34:05+02:00,2025-12-16,data/history/2025-12-16/2025-12-16T11-34-05Z.json,1765882800,2957.15,0.8671,-2.3854,-0.9529,3.2525,2.4875,-5.6189,-3.4121,8.1065,4.0485,-5.9906,0.4268,10.0391,4.0485,-5.9906,0.6787,10.0391,2,2,-1.2718,28,2,-2.3999,28,3,-2.3999,133,29,-5.9906,,31,
ETH-USDT,2025-12-16T13:51:11+00:00,2025-12-16T15:51:11+02:00,2025-12-16,data/history/2025-12-16/2025-12-16T13-51-11Z.json,1765890000,2937.12,1.258,-1.7197,0.0899,2.9777,3.1865,-4.9753,0.8896,8.1617,4.7581,-5.3495,0.1661,10.1075,4.7581,-5.3495,1.4463,10.1075,1,1,-1.7197,5,1,-1.7197,26,27,-1.7344,26,27,-1.7344,,55,
ETH-USDT,2025-12-16T14:53:46+00:00,2025-12-16T16:53:46+02:00,2025-12-16,data/history/2025-12-16/2025-12-16T14-53-46Z.json,1765893600,2941.16,1.1189,-1.8693,-0.2553,2.9883,3.0447,-5.1058,-0.0932,8.1505,4.6142,-5.4795,-0.3414,10.0936,4.6142,-5.4795,0.9704,10.0936,2,1,-0.9357,11,4,-1.0071,25,26,-1.8693,25,26,-1.8693,,29,
