asset,published_at_utc,published_at_local,date_local,history_file,entry_ts_utc,entry_close,n_candles_snapshot,ret_6h_pct,ret_12h_pct,ret_24h_pct,ret_48h_pct,range_24h_pct,range_48h_pct,atr14_pct,dist_from_24h_high_pct,dist_from_24h_low_pct,dist_from_48h_high_pct,dist_from_48h_low_pct,close_vs_sma_24_pct,close_vs_sma_48_pct,is_up_24h,is_up_48h,max_up_pct_24,max_down_pct_24,close_change_pct_24,range_pct_24,max_up_pct_48,max_down_pct_48,close_change_pct_48,range_pct_48,max_up_pct_168,max_down_pct_168,close_change_pct_168,range_pct_168,max_up_pct_336,max_down_pct_336,close_change_pct_336,range_pct_336,t_hit_up_0p5,t_hit_down_0p5,mdd_before_hit_up_0p5,t_hit_up_1,t_hit_down_1,mdd_before_hit_up_1,t_hit_up_2,t_hit_down_2,mdd_before_hit_up_2,t_hit_up_3,t_hit_down_3,mdd_before_hit_up_3,t_hit_up_5,t_hit_down_5,mdd_before_hit_up_5
ETH-USDT,2025-12-16T05:47:41+00:00,2025-12-16T07:47:41+02:00,2025-12-16,data/history/2025-12-16/2025-12-16T05-47-41Z.json,1765861200,2927.93,96,-1.4019,-2.1878,-6.2996,-6.0009,7.9527,7.9527,1.4082,-7.6269,0.3258,-7.6269,0.3258,-3.6302,-4.7429,0,0,0.7104,-0.2705,0.3303,0.9809,0.7104,-4.107,-3.066,4.8174,4.1019,-4.4926,1.9772,8.5945,4.1019,-4.4926,0.6957,8.5945,7,35,-0.2705,83,35,-4.4926,103,35,-4.4926,140,37,-4.4926,,,
ETH-USDT,2025-12-16T06:59:35+00:00,2025-12-16T08:59:35+02:00,2025-12-16,data/history/2025-12-16/2025-12-16T06-59-35Z.json,1765864800,2951.04,96,-0.911,0.2562,-6.161,-5.2663,7.8904,7.8904,1.3405,-6.784,1.1064,-6.784,1.1064,-2.6108,-3.8842,0,0,-0.0783,-1.0515,-0.2135,0.9732,-0.0783,-4.8579,-3.9938,4.7797,3.2866,-5.2405,0.9312,8.5272,3.2866,-5.2405,0.019,8.5272,85,1,-5.2405,89,1,-5.2405,139,34,-5.2405,150,34,-5.2405,,62,
ETH-USDT,2025-12-16T07:49:26+00:00,2025-12-16T09:49:26+02:00,2025-12-16,data/history/2025-12-16/2025-12-16T07-49-26Z.json,1765868400,2948.18,96,-0.4622,-0.5582,-6.1681,-5.4358,7.8981,7.8981,1.3253,-6.8876,1.0105,-6.8876,1.0105,-2.4452,-3.8668,0,0,0.0187,-0.7215,0.1974,0.7401,0.0187,-4.7657,-3.8312,4.7843,3.3868,-5.1486,0.5556,8.5354,3.3868,-5.1486,0.2524,8.5354,84,1,-5.1486,86,33,-5.1486,138,33,-5.1486,142,33,-5.1486,,61,
ETH-USDT,2025-12-16T08:57:44+00:00,2025-12-16T10:57:44+02:00,2025-12-16,data/history/2025-12-16/2025-12-16T08-57-44Z.json,1765872000,2940.27,96,-0.8785,-0.2216,-6.4957,-5.7509,7.9193,7.9193,1.302,-7.1752,0.7441,-7.1752,0.7441,-2.4322,-4.0077,0,0,0.2877,-0.5404,0.268,0.8282,0.2877,-4.5094,-2.9936,4.7972,3.665,-4.8934,1.1098,8.5584,3.665,-4.8934,2.1484,8.5584,80,24,-4.8934,84,32,-4.8934,136,32,-4.8934,141,33,-4.8934,,,
ETH-USDT,2025-12-16T09:49:58+00:00,2025-12-16T11:49:58+02:00,2025-12-16,data/history/2025-12-16/2025-12-16T09-49-58Z.json,1765875600,2935.52,96,-0.5097,-0.4102,-7.1405,-5.7291,7.9322,7.9322,1.2522,-7.3486,0.5835,-7.3486,0.5835,-2.2848,-4.0464,0,0,0.45,-0.3795,-0.076,0.8295,0.45,-4.3549,-2.6748,4.8049,3.8327,-4.7395,1.0594,8.5722,3.8327,-4.7395,1.5936,8.5722,74,31,-4.7395,82,31,-4.7395,135,31,-4.7395,140,33,-4.7395,,,
ETH-USDT,2025-12-16T10:51:49+00:00,2025-12-16T12:51:49+02:00,2025-12-16,data/history/2025-12-16/2025-12-16T10-51-49Z.json,1765879200,2964.14,96,0.8331,0.3885,-6.7446,-4.7739,7.7554,7.8556,1.1852,-6.2119,1.5434,-6.3121,1.5434,-1.0379,-3.0127,0,0,-0.5199,-1.4453,-1.2101,0.9254,-0.5199,-5.2784,-3.3578,4.7585,2.8302,-5.6593,0.2159,8.4895,2.8302,-5.6593,0.8107,8.4895,83,3,-5.6593,120,5,-5.6593,139,30,-5.6593,,30,,,32,
ETH-USDT,2025-12-16T11:34:05+00:00,2025-12-16T13:34:05+02:00,2025-12-16,data/history/2025-12-16/2025-12-16T11-34-05Z.json,1765882800,2962.64,96,1.1855,-0.233,-6.3238,-4.726,7.7593,7.8595,1.1635,-6.2657,1.4936,-6.3659,1.4936,-0.812,-2.9646,0,0,-0.4695,-1.3954,-1.0879,0.9259,-0.4695,-5.2305,-3.4743,4.761,2.8822,-5.6115,0.4226,8.4938,2.8822,-5.6115,0.5559,8.4938,82,2,-5.6115,119,6,-5.6115,138,29,-5.6115,,29,,,31,
ETH-USDT,2025-12-16T13:51:11+00:00,2025-12-16T15:51:11+02:00,2025-12-16,data/history/2025-12-16/2025-12-16T13-51-11Z.json,1765890000,2982.79,96,1.1739,0.7063,-5.5104,-3.8675,3.7445,7.8064,1.137,-1.5854,2.1591,-5.6474,2.1591,0.379,-2.1284,0,0,-1.1419,-2.0615,-1.4168,0.9196,-1.1419,-5.8707,-0.3316,4.7288,2.1872,-6.2492,-0.6531,8.4364,2.1872,-6.2492,-0.0218,8.4364,131,1,-6.2492,132,1,-6.2492,143,21,-6.2492,,27,,,29,
ETH-USDT,2025-12-16T14:53:46+00:00,2025-12-16T16:53:46+02:00,2025-12-16,data/history/2025-12-16/2025-12-16T14-53-46Z.json,1765893600,2960.4,96,0.6846,-0.1999,-5.9271,-4.7558,2.5551,8.133,1.3208,-0.8685,1.6866,-6.4464,1.6866,-0.1132,-2.7648,0,0,-0.3942,-1.3208,-0.3348,0.9266,-0.3942,-5.1588,1.0782,4.7646,2.9601,-5.5401,-0.2483,8.5002,2.9601,-5.5401,0.9546,8.5002,78,1,-5.5401,116,3,-5.5401,134,26,-5.5401,,26,,,28,
ETH-USDT,2025-12-16T15:42:53+00:00,2025-12-16T17:42:53+02:00,2025-12-16,data/history/2025-12-16/2025-12-16T15-42-53Z.json,1765897200,2948.21,96,0.4323,-0.0796,-3.6674,-4.5216,1.8971,8.1667,1.3439,-0.617,1.2801,-6.8866,1.2801,-0.3673,-3.0725,0,0,0.0176,-0.9128,2.7983,0.9304,0.0176,-4.7666,1.6702,4.7843,3.3858,-5.1496,-0.4976,8.5353,3.3858,-5.1496,1.8415,8.5353,76,2,-5.1496,78,25,-5.1496,130,25,-5.1496,134,25,-5.1496,,53,
