start_utc,end_utc,elapsed_h,lower_usdt,upper_usdt,grids,qty_eth,start_price_usdt,end_price_usdt,actual_rounds,actual_grid_profit_usdt,resolution,candles_used,edge_gap_start_min,edge_gap_end_min,pred_rounds_conservative,pred_rounds_mid,pred_rounds_optimistic,pred_profit_conservative_usdt,pred_profit_mid_usdt,pred_profit_optimistic_usdt,rounds_abs_error_mid,profit_abs_error_mid_usdt,actual_rounds_within_path_ambiguity,actual_profit_within_path_ambiguity
2026-08-12T09:58:00+00:00,2026-08-13T02:23:00+00:00,16.4167,1750.0,2000.0,30,0.00318,1905.24,1876.36,3,0.07,1hour,16,2.0,23.0,3,3.5,4,0.06407974,0.07477797,0.08547621,0.5,0.00477797,True,True
2026-08-12T09:58:00+00:00,2026-08-13T02:23:00+00:00,16.4167,1750.0,2000.0,30,0.00318,1905.24,1876.36,3,0.07,15min,65,2.0,8.0,3,3.5,4,0.06407974,0.07473685,0.08539397,0.5,0.00473685,True,True
2026-08-12T09:58:00+00:00,2026-08-13T02:23:00+00:00,16.4167,1750.0,2000.0,30,0.00318,1905.24,1876.36,3,0.07,5min,196,2.0,3.0,3,3.5,4,0.06407974,0.07473685,0.08539397,0.5,0.00473685,True,True
2026-08-13T02:23:00+00:00,2026-08-14T02:16:00+00:00,23.8833,1750.0,2000.0,30,0.00318,1876.36,1889.01,6,0.13,1hour,23,37.0,16.0,7,7.5,8,0.14996716,0.16067909,0.17139103,1.5,0.03067909,False,False
2026-08-13T02:23:00+00:00,2026-08-14T02:16:00+00:00,23.8833,1750.0,2000.0,30,0.00318,1876.36,1889.01,6,0.13,15min,95,7.0,1.0,7,7.5,8,0.14996716,0.1606928,0.17141845,1.5,0.0306928,False,False
2026-08-13T02:23:00+00:00,2026-08-14T02:16:00+00:00,23.8833,1750.0,2000.0,30,0.00318,1876.36,1889.01,6,0.13,5min,286,2.0,1.0,7,7.5,8,0.14996716,0.1606928,0.17141845,1.5,0.0306928,False,False
2026-08-16T02:28:00+00:00,2026-08-17T02:18:00+00:00,23.8333,1750.0,2000.0,30,0.00318,1884.44,1888.97,4,0.08,1hour,23,32.0,18.0,5,5.0,5,0.1071194,0.1071331,0.10714681,1.0,0.0271331,False,False
2026-08-16T02:28:00+00:00,2026-08-17T02:18:00+00:00,23.8333,1750.0,2000.0,30,0.00318,1884.44,1888.97,4,0.08,15min,95,2.0,3.0,5,5.5,6,0.10714681,0.11783134,0.12851586,1.5,0.03783134,False,False
2026-08-16T02:28:00+00:00,2026-08-17T02:18:00+00:00,23.8333,1750.0,2000.0,30,0.00318,1884.44,1888.97,4,0.08,5min,285,2.0,3.0,4,4.5,5,0.08569552,0.09640746,0.1071194,0.5,0.01640746,True,False
2026-08-17T02:18:00+00:00,2026-08-18T02:27:00+00:00,24.15,1750.0,2000.0,30,0.00318,1888.97,1897.79,6,0.13,1hour,22,42.0,27.0,6,7.0,8,0.12815948,0.14951483,0.17087017,1.0,0.01951483,True,True
