start_utc,end_utc,elapsed_h,same_geometry,start_price_usdt,end_price_usdt,completed_rounds_delta,grid_profit_delta_usdt,eth_delta,usdt_delta,quantity_per_grid_eth,net_inventory_grid_units_raw,net_inventory_grid_units_inferred,inventory_inference_status,estimated_fill_count_lower_bound,end_reported_rounds_24h
2026-08-12T09:58:00+00:00,2026-08-13T02:23:00+00:00,16.4167,True,1905.24,1876.36,3,0.07,0.00953,-17.94,0.00318,2.996855,3,NET_UNMATCHED_BUY_LEGS_INCREASE,9,6
2026-08-13T02:23:00+00:00,2026-08-14T02:16:00+00:00,23.8833,True,1876.36,1889.01,6,0.13,-0.00319,6.13,0.00318,-1.003145,-1,NET_UNMATCHED_SELL_LEGS_INCREASE,13,6
2026-08-14T02:16:00+00:00,2026-08-16T02:28:00+00:00,48.2,True,1889.01,1884.44,3,0.07,0.00318,-5.91,0.00318,1.0,1,NET_UNMATCHED_BUY_LEGS_INCREASE,7,0
2026-08-16T02:28:00+00:00,2026-08-17T02:18:00+00:00,23.8333,True,1884.44,1888.97,4,0.08,-0.00637,12.08,0.00318,-2.003145,-2,NET_UNMATCHED_SELL_LEGS_INCREASE,10,4
2026-08-17T02:18:00+00:00,2026-08-18T02:27:00+00:00,24.15,True,1888.97,1897.79,6,0.13,-0.00318,6.18,0.00318,-1.0,-1,NET_UNMATCHED_SELL_LEGS_INCREASE,13,6
2026-08-18T02:27:00+00:00,2026-08-19T02:27:00+00:00,24.0,True,1897.79,1910.47,6,0.13,-0.00319,6.2,0.00318,-1.003145,-1,NET_UNMATCHED_SELL_LEGS_INCREASE,13,6
2026-08-19T02:27:00+00:00,2026-08-19T09:22:00+00:00,6.9167,True,1910.47,1922.92,1,0.02,-0.00318,6.11,0.00318,-1.0,-1,NET_UNMATCHED_SELL_LEGS_INCREASE,3,5
2026-08-19T09:22:00+00:00,2026-08-19T15:21:00+00:00,5.9833,False,1922.92,2014.55,10,0.24,-0.01622,31.25,0.00318,-5.100629,-5,NET_UNMATCHED_SELL_LEGS_INCREASE,25,11
2026-08-19T15:21:00+00:00,2026-08-19T15:56:00+00:00,0.5833,False,2014.55,2082.85,7,0.16,-0.00634,12.53,0.0031,-2.045161,-2,NET_UNMATCHED_SELL_LEGS_INCREASE,16,18
2026-08-19T15:56:00+00:00,2026-08-20T02:29:00+00:00,10.55,False,2082.85,2257.89,17,0.26,0.00768,-17.84,0.00302,2.543046,,HOLDINGS_DELTA_NOT_CLOSE_TO_INTEGER_GRID_UNITS,34,35
2026-08-20T02:29:00+00:00,2026-08-21T02:01:26.951911+00:00,23.5408,True,2257.89,2357.0,29,0.52931403,-0.01377775,31.86949115,0.00275,-5.010091,-5,NET_UNMATCHED_SELL_LEGS_INCREASE,63,29
2026-08-21T02:01:26.951911+00:00,2026-08-21T04:34:05.398790+00:00,2.544,False,2357.0,2349.44,0,0.0,0.04126936,-96.7812826,0.00275,15.007038,15,NET_UNMATCHED_BUY_LEGS_INCREASE,15,
2026-08-21T04:34:05.398790+00:00,2026-08-22T04:00:28.828727+00:00,23.4398,False,2349.44,2517.45,28,1.45005187,-0.02979762,72.41830829,0.00375,-7.946032,-8,NET_UNMATCHED_SELL_LEGS_INCREASE,64,28
2026-08-22T04:00:28.828727+00:00,2026-08-22T12:21:47.592028+00:00,8.3552,False,2517.45,2434.98,26,0.46227491,0.01829993,-44.78159487,0.00229,7.991234,8,NET_UNMATCHED_BUY_LEGS_INCREASE,60,43
2026-08-22T12:21:47.592028+00:00,2026-08-23T11:40:01.812970+00:00,23.304,True,2434.98,2437.8,5,0.32642435,-9.27e-06,0.34861942,0.00371,-0.0025,0,NO_NET_OPEN_LEG_CHANGE,10,6
2026-08-23T11:40:01.812970+00:00,2026-08-24T10:57:35.314767+00:00,23.2926,True,2437.8,2462.61,12,0.79508082,-0.00743855,18.9034146,0.00371,-2.005,-2,NET_UNMATCHED_SELL_LEGS_INCREASE,26,13
2026-08-24T10:57:35.314767+00:00,2026-08-25T04:04:45.517531+00:00,17.1195,False,2462.61,2497.84,10,0.65861775,-0.00124793,3.55036095,0.00371,-0.336371,,HOLDINGS_DELTA_NOT_CLOSE_TO_INTEGER_GRID_UNITS,20,13
2026-08-25T04:04:45.517531+00:00,2026-08-26T03:28:39.523170+00:00,23.3983,True,2497.84,2463.32,4,0.25978352,0.00700947,-17.08251979,0.00351,1.997,2,NET_UNMATCHED_BUY_LEGS_INCREASE,10,4
2026-08-26T03:28:39.523170+00:00,2026-08-27T02:29:50.968238+00:00,23.0198,True,2463.32,2495.86,5,0.32441766,-0.00702526,17.70543035,0.00351,-2.0015,-2,NET_UNMATCHED_SELL_LEGS_INCREASE,12,5
2026-08-27T02:29:50.968238+00:00,2026-08-28T02:28:31.584808+00:00,23.9779,True,2495.86,2495.87,6,0.39718167,-1.053e-05,0.41468818,0.00351,-0.003,0,NO_NET_OPEN_LEG_CHANGE,12,6
2026-08-28T02:28:31.584808+00:00,2026-08-29T02:17:46.055767+00:00,23.8207,True,2495.87,2440.56,6,0.38905521,0.01051421,-25.5138055,0.00351,2.9955,3,NET_UNMATCHED_BUY_LEGS_INCREASE,15,6
2026-08-29T02:17:46.055767+00:00,2026-08-30T01:39:42.242191+00:00,23.3656,True,2440.56,2457.34,1,0.06496343,-0.00351,8.63863232,0.00351,-1.0,-1,NET_UNMATCHED_SELL_LEGS_INCREASE,3,1
2026-08-30T01:39:42.242191+00:00,2026-08-31T01:36:37.324539+00:00,23.9486,True,2457.34,2419.79,5,0.32427393,0.0070477,-16.8189066,0.00351,2.00789,2,NET_UNMATCHED_BUY_LEGS_INCREASE,12,5
2026-08-31T01:36:37.324539+00:00,2026-09-01T02:30:14.368042+00:00,24.8936,True,2419.79,2459.3,4,0.25978352,-0.00702351,17.34215621,0.00351,-2.001,-2,NET_UNMATCHED_SELL_LEGS_INCREASE,10,4
2026-09-01T02:30:14.368042+00:00,2026-09-02T04:46:30.894517+00:00,26.2713,True,2459.3,2415.88,3,0.19500561,0.00701123,-16.85748449,0.00351,1.9975,2,NET_UNMATCHED_BUY_LEGS_INCREASE,8,3
2026-09-02T04:46:30.894517+00:00,2026-09-02T22:51:02.171730+00:00,18.0754,True,2415.88,2381.38,3,0.19555551,0.00350298,-8.21427331,0.00351,0.998,1,NET_UNMATCHED_BUY_LEGS_INCREASE,7,4
